Label;Area;Major;Minor;Angle;Feret;Slice;FeretX;FeretY;FeretAngle;MinFeret;Scale_um;Scale_px
2021120127.jpg_converted.tif:0583-0824;186087;940.816338648;251.838023457;179.456442899;911.527289773;1;369;555;178.051060292;252.654388317;100;23
2021120128.jpg_converted.tif:0550-0788;205860;1007.031073186;260.279051618;178.381248938;969.140340714;1;304;533;177.220259828;257.512072606;100;23
2021120129.jpg_converted.tif:0543-0853;193508;970.315482210;253.919516219;1.330763222;934.772699644;1;386;567;2.329806739;251.015738890;100;23
2022012706.jpg_converted.tif:0614-0849;157648;731.110457580;274.546295525;179.368716007;727.011004043;1;486;618;0.315241823;274.000000000;1000;230
2022012707.jpg_converted.tif:0593-0835;136389;710.475230329;244.422128814;179.369143300;697.121223318;1;487;593;1.068520489;247.087567856;1000;230
2022012708.jpg_converted.tif:0607-0812;143330;687.594634632;265.408446715;0.159467118;678.188764283;1;473;612;1.351861876;264.000000000;1000;230
2022012709.jpg_converted.tif:0600-0812;148180;713.527604098;264.416729858;0.157683126;709.070518355;1;458;608;0.808067428;267.355812608;1000;230
2022012710.jpg_converted.tif:0644-0832;146263;710.250949820;262.200051375;0.102439440;703.057607881;1;481;632;179.266523689;262.000000000;1000;230
2022012711.jpg_converted.tif:0524-0883;131768;670.980798731;250.040282297;179.849926222;667.006746593;1;550;530;0.257700419;254.381142684;1000;230
2022012712.jpg_converted.tif:0576-0880;136205;685.452306133;253.003149364;179.275839575;683.264224148;1;539;573;178.406531295;254.910200649;1000;230
2022012713.jpg_converted.tif:0615-0852;151776;705.939101728;273.744866475;179.433381336;705.070918419;1;500;612;179.187348406;276.000000000;1000;230
2022012714.jpg_converted.tif:0594-0819;145968;697.979463018;266.271774047;0.050347782;690.046375253;1;474;585;179.335730871;267.839813594;1000;230
2022012720.jpg_converted.tif:0583-0782;228749;909.624923972;320.189415377;0.602045537;897.031214619;1;334;606;2.747577786;323.799057850;1000;230
2022012721.jpg_converted.tif:0523-0788;216776;900.963014139;306.347509518;178.434705735;887.730251822;1;345;515;177.675854995;312.443665315;1000;230
2022012722.jpg_converted.tif:0577-0800;266622;970.199768085;349.900798849;179.158320191;954.570584085;1;323;573;178.018860446;351.138791096;1000;230
2022012723.jpg_converted.tif:0604-0909;230108;884.930922347;331.079633179;178.522370850;873.036654442;1;473;589;179.474967461;333.326340706;1000;230
2022012724.jpg_converted.tif:0595-0870;288691;995.505801218;369.232200314;177.759348977;983.854664064;1;379;566;177.611631572;370.178135606;1000;230
2022012725.jpg_converted.tif:0566-0874;270860;952.180618188;362.189333095;0.218240348;942.331682583;1;403;554;178.479768221;362.789884093;1000;230
2022020401.jpg_converted.tif:0562-0829;252695;979.012051286;328.638719344;0.330839860;954.679003645;1;352;543;177.838920512;332.813855331;1000;230
2022020402.jpg_converted.tif:0545-0827;251401;900.905167964;355.302318344;0.085802163;895.321729883;1;380;574;1.536055027;355.000000000;1000;230
2022020403.jpg_converted.tif:0457-0930;238185;993.423164315;305.274299872;1.020276593;968.240672560;1;447;473;2.900821082;305.000000000;1000;230
2022020404.jpg_converted.tif:0573-0850;267774;1021.854575370;333.648695294;178.464134155;985.170036085;1;358;564;177.207297634;335.199006504;1000;230
2022020405.jpg_converted.tif:0572-0925;251842;947.954118248;338.260246200;179.976715261;939.511575235;1;456;591;1.890867195;341.980166315;1000;230
